Enabled Application Name
Strava Cycling Android Application
VeloViewer
tapiriik
StatsHunters
strafo.app
Toolbox by Marcello Brivio
EGYM
heatflask
Wandrer
NYRR
Suunto
intervals.icu
Bikelog
FATMAP
Smashrun
Analytics
Recover Athletics
RUNALYZE
Strautomator
The Feed
Aplifit Play
Hevy
 Data-Driven Running Coach
Run Hub
Tanda_Assistant
Gainsight
My First Dashboard
You Got This: 100 Days powered by adidas
