Reaction Date,Reaction Type,Parent Type,Parent ID
"Oct 9, 2023, 10:54:00 AM",Kudos,Activity,10002827204
"Oct 11, 2023, 7:18:20 PM",Kudos,Activity,10020880726
"Oct 14, 2023, 12:01:36 AM",Kudos,Activity,10033638301
"Oct 16, 2023, 10:19:52 PM",Kudos,Activity,10050309485
"Oct 22, 2023, 12:21:05 PM",Kudos,Activity,10082575444
"Oct 22, 2023, 12:21:12 PM",Kudos,Activity,10082039288
"Oct 23, 2023, 10:34:56 PM",Kudos,Activity,10092032761
"Oct 25, 2023, 6:59:25 PM",Kudos,Activity,10101245741
"Oct 31, 2023, 8:14:45 AM",Kudos,Activity,10132280361
"Nov 1, 2023, 12:55:26 PM",Kudos,Activity,10141327197
"Nov 4, 2023, 3:45:32 PM",Kudos,Activity,10158959115
"Nov 5, 2023, 4:06:58 PM",Kudos,Activity,10165885933
"Nov 12, 2023, 10:39:42 AM",Kudos,Activity,10197611964
"Nov 26, 2023, 12:53:03 PM",Kudos,Activity,10284465686
"Dec 3, 2023, 1:50:49 AM",Kudos,Activity,10317710628
"Dec 3, 2023, 12:36:47 PM",Kudos,Activity,10321626666
"Dec 6, 2023, 9:26:26 AM",Kudos,Activity,10336255892
"Dec 8, 2023, 7:59:40 PM",Kudos,Activity,10346408759
"Dec 13, 2023, 7:23:15 PM",Kudos,Activity,10375463530
"Dec 17, 2023, 6:07:49 PM",Kudos,Activity,10394514436
"Dec 23, 2023, 8:56:08 PM",Kudos,Activity,10425357652
"Dec 23, 2023, 8:59:44 PM",Kudos,Activity,10426201772
"Dec 24, 2023, 12:56:45 PM",Kudos,Activity,10429636309
"Dec 27, 2023, 8:51:02 PM",Kudos,Activity,10446633685
"Dec 29, 2023, 7:36:43 PM",Kudos,Activity,10455985420
"Dec 31, 2023, 6:21:06 PM",Kudos,Activity,10469563315
"Dec 31, 2023, 6:21:10 PM",Kudos,Activity,10469520235
"Jan 3, 2024, 7:26:25 PM",Kudos,Activity,10469748292
"Jan 3, 2024, 8:47:33 PM",Kudos,Activity,10487450727
"Jan 3, 2024, 8:47:36 PM",Kudos,Activity,10486944007
"Jan 3, 2024, 8:47:38 PM",Kudos,Activity,10484539873
"Jan 4, 2024, 8:51:14 PM",Kudos,Activity,10494660202
"Jan 11, 2024, 7:17:45 PM",Kudos,Activity,10538866857
"Jan 11, 2024, 7:17:58 PM",Kudos,Activity,10533064499
"Jan 13, 2024, 10:43:02 AM",Kudos,Activity,10547827748
"Jan 13, 2024, 10:43:07 AM",Kudos,Activity,10546148602
"Jan 17, 2024, 5:42:44 PM",Kudos,Activity,10571325227
"Jan 18, 2024, 11:23:58 PM",Kudos,Activity,10585150880
"Jan 20, 2024, 3:48:21 PM",Kudos,Activity,10593185594
"Jan 20, 2024, 4:43:15 PM",Kudos,Activity,10595826625
"Jan 20, 2024, 11:35:42 PM",Kudos,Activity,10597326683
"Jan 20, 2024, 11:35:44 PM",Kudos,Activity,10597332400
"Jan 21, 2024, 12:43:54 PM",Kudos,Activity,10599196803
"Jan 21, 2024, 5:05:48 PM",Kudos,Activity,10599157517
"Jan 21, 2024, 5:05:53 PM",Kudos,Activity,10599256182
"Jan 21, 2024, 5:06:01 PM",Kudos,Activity,10601830506
"Jan 21, 2024, 5:06:03 PM",Kudos,Activity,10600802446
"Jan 22, 2024, 7:32:35 PM",Kudos,Activity,10609122197
"Jan 22, 2024, 11:38:23 PM",Kudos,Activity,10607597110
"Jan 22, 2024, 11:38:24 PM",Kudos,Activity,10607646256
"Jan 23, 2024, 8:06:38 AM",Kudos,Activity,10611691342
"Jan 23, 2024, 10:36:08 AM",Kudos,Activity,10610071732
"Jan 23, 2024, 8:41:12 PM",Kudos,Activity,10615302173
"Jan 23, 2024, 8:41:14 PM",Kudos,Activity,10615194706
"Jan 23, 2024, 8:41:17 PM",Kudos,Activity,10615155606
"Jan 23, 2024, 10:08:49 PM",Kudos,Activity,10616222307
