Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
4059956774,"Sep 14, 2020, 3:11:03 PM",Casi Martorell,Ride,"",14284,60.13,,,false,"",RockRider 6.3 2013,activities/4059956774.gpx,,,14284.0,13136.0,60133.6015625,15.34000015258789,4.577771186828613,328.63763427734375,328.6313781738281,24.5,121.69999694824219,18.571428298950195,0.0001662963768467307,,,,,,,,151.2841339111328,2215.80419921875,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,13763030.0,,,,,,,,,,,,,30234.900390625,,,,,,,,,,,,""
4074634603,"Sep 17, 2020, 2:08:33 PM",Martorell,Ride,"",18923,71.80,,,false,"",RockRider 6.3 2013,activities/4074634603.gpx,,,18923.0,17416.0,71806.8984375,16.1200008392334,4.123042106628418,590.7453002929688,591.3106079101562,24.5,140.0,23.57723617553711,-0.002645985223352909,,,,,,,,145.88253784179688,2832.86962890625,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,13763030.0,,,,,,,,,,,,,22798.599609375,,,,,,,,,,,,""
4089032477,"Sep 20, 2020, 2:17:36 PM",Afternoon Ride,Ride,"",12601,51.64,,,false,"",RockRider 6.3 2013,activities/4089032477.gpx,,,12601.0,11908.0,51646.80078125,12.600000381469727,4.337151527404785,345.7657470703125,345.6659851074219,4.099999904632568,121.69999694824219,20.700000762939453,0.00019362283637747169,,,,,,,,85.46978759765625,1134.8182373046875,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,13763030.0,,,,,,,,,,,,,20156.0,,,,,,,,,,,,""
4101551322,"Sep 23, 2020, 1:11:30 PM",Pinchazo,Ride,"",2872,10.97,,,false,"",RockRider 6.3 2013,activities/4101551322.gpx,,,2872.0,2435.0,10975.7998046875,9.5600004196167,4.5075154304504395,105.83773803710938,66.54916381835938,18.100000381469727,99.80000305175781,27.586206436157227,0.3234388530254364,,,,,,,,169.20562744140625,459.39752197265625,,,,,,,,,,,,,,0.0,,0.0,,1.0,,1600866048.0,1.0,28.5,29.229999542236328,17.6299991607666,0.5199999809265137,1011.0999755859375,4.650000095367432,7.369999885559082,223.0,0.006200000178068876,1600839680.0,1600883328.0,0.23999999463558197,13763030.0,,0.009999999776482582,5.0,0.009999999776482582,16093.0,5.0,290.70001220703125,,,,,,5419.2998046875,,,,,,,,,,,,media/6f6b0ffd-7ba0-4ecc-8de5-91737dc0afdd.jpg
4106448223,"Sep 24, 2020, 1:25:42 PM",Collserola Tibidabo,Ride,"",8000,31.59,,,false,"",RockRider 6.3 2013,activities/4106448223.gpx,,,8000.0,7600.0,31596.900390625,15.920000076293945,4.157486915588379,535.2504272460938,537.5104370117188,18.100000381469727,440.3999938964844,29.41176414489746,-0.006013248115777969,,,,,,,,148.0103302001953,1254.2396240234375,,,,,,,,,,,,,,0.0,,0.0,,1.0,,1600952448.0,2.0,28.639999389648438,29.239999771118164,17.31999969482422,0.5,1010.7000122070312,7.239999771118164,9.239999771118164,249.0,0.009999999776482582,1600926080.0,1600969600.0,0.2800000011920929,13763030.0,,0.019999999552965164,5.0,0.3400000035762787,16093.0,5.0,293.1000061035156,,,,,,17651.69921875,,,,,,,,,,,,""
4123083882,"Sep 28, 2020, 10:18:59 AM",Ciclismo a la hora del almuerzo,Ride,"",2860,11.42,,,false,"",RockRider 6.3 2013,activities/4123083882.gpx,,,2860.0,2733.0,11426.0,9.5,4.180753707885742,68.09646606445312,68.11090850830078,10.0,65.30000305175781,10.5,0.0,,,,,,,,129.3131103515625,394.05517578125,,,,,,,,,,,,,,0.0,,0.0,,1.0,,1601287168.0,1.0,19.43000030517578,19.43000030517578,7.409999847412109,0.46000000834465027,1015.5999755859375,3.0999999046325684,3.7899999618530273,29.0,0.0,1601272064.0,1601314688.0,0.4099999964237213,13763030.0,,0.0,,0.0,16093.0,4.0,309.79998779296875,,,,,,4217.7001953125,,,,,,,,,,,,""
4124534046,"Sep 28, 2020, 1:19:05 PM",Granollers Lliça Parets,Ride,"",15399,58.51,,,false,"",RockRider 6.3 2013,activities/4124534046.gpx,,,15399.0,13354.0,58512.19921875,11.520000457763672,4.381623268127441,304.29058837890625,301.8572692871094,21.399999618530273,166.1999969482422,43.157894134521484,0.003930804319679737,,,,,,,,138.49490356445312,2062.14892578125,,,,,,,,,,,,,,0.0,,0.0,,1.0,,1601298048.0,1.0,23.25,23.25,10.1899995803833,0.4399999976158142,1015.2999877929688,3.75,4.889999866485596,241.0,0.0,1601272064.0,1601314688.0,0.4099999964237213,13763030.0,,0.0,,0.009999999776482582,16093.0,5.0,302.70001220703125,,,,,,26065.599609375,,,,,,,,,,,,""
4128985658,"Sep 29, 2020, 3:29:57 PM",Serralada Marina,Ride,"",6541,24.57,,,false,"",RockRider 6.3 2013,activities/4128985658.gpx,,,6541.0,6056.0,24572.19921875,15.359999656677246,4.057496547698975,245.29666137695312,245.0445556640625,6.800000190734863,157.8000030517578,16.842105865478516,0.0032557116355746984,,,,,,,,135.197509765625,912.9130859375,,,,,,,,,,,,,,0.0,,0.0,,1.0,,1601391616.0,1.0,24.420000076293945,24.420000076293945,14.25,0.5299999713897705,1016.7000122070312,5.150000095367432,5.179999828338623,205.0,0.0,1601358464.0,1601400960.0,0.4399999976158142,13763030.0,,0.0,,0.20000000298023224,16093.0,2.0,296.79998779296875,,,,,,8825.0,,,,,,,,,,,,""
4209865635,"Oct 18, 2020, 8:06:07 AM",Good morning ruta,Ride,"",2984,11.15,,,false,"",RockRider 6.3 2013,activities/4209865635.gpx,,,2984.0,2919.0,11156.7001953125,11.899999618530273,3.822096586227417,190.2901611328125,188.3368682861328,60.29999923706055,175.39999389648438,22.899999618530273,0.001792644732631743,,,,,,,,145.9864044189453,475.1397705078125,,,,,,,,,,,,,,0.0,,0.0,,1.0,,1603008000.0,1.0,12.989999771118164,12.989999771118164,5.630000114440918,0.6100000143051147,1021.7000122070312,1.899999976158142,1.899999976158142,332.0,0.0,1603001344.0,1603040768.0,0.07999999821186066,13763030.0,,0.0,,0.0,16093.0,1.0,282.5,,,,,,1862.199951171875,,,,,,,,,,,,""
4212945716,"Oct 18, 2020, 4:44:14 PM",Good evening ruta,Ride,"",2560,8.91,,,false,"",RockRider 6.3 2013,activities/4212945716.gpx,,,2560.0,2419.0,8916.7001953125,11.100000381469727,3.686110019683838,139.5546875,138.4171905517578,46.29999923706055,114.80000305175781,26.700000762939453,0.031401753425598145,,,,,,,,142.84967041015625,385.2919921875,,,,,,,,,,,,,,0.0,,0.0,,1.0,,1603036800.0,1.0,19.100000381469727,19.100000381469727,11.0600004196167,0.6000000238418579,1021.0,2.2799999713897705,2.2899999618530273,190.0,0.0,1603001344.0,1603040768.0,0.07999999821186066,13763030.0,,0.0,,0.25999999046325684,16093.0,0.0,276.5,,,,,,2752.39990234375,,,,,,,,,,,,""
